edge_id,charge_node_id,charge_node_distance,场站名称,充电车位数
5044,19598.0,700.0,MA5DT8Q54,10
5045,19598.0,810.0,MA5DT8Q54,10
5045,19598.0,810.0,MA5DT8Q54,10
5047,19598.0,810.0,MA5DT8Q54,10
5047,19598.0,810.0,MA5DT8Q54,10
5054,19598.0,910.0,MA5DT8Q54,10
5054,19598.0,910.0,MA5DT8Q54,10
5064,21140.0,791.0,MA01H3BQ1,10
5066,20645.0,907.0,MA5CTTPE8,10
5077,20645.0,907.0,MA5CTTPE8,10
5112,20645.0,460.0,MA5CTTPE8,10
5253,19735.0,495.0,MA5DT8Q54,10
5254,19820.0,710.0,MA5DT8Q54,10
5255,19820.0,710.0,MA5DT8Q54,10
5271,19843.0,446.0,MA5DT8Q54,10
5272,19843.0,533.0,MA5DT8Q54,10
5277,19843.0,533.0,MA5DT8Q54,10
5278,19843.0,806.0,MA5DT8Q54,10
5279,19843.0,806.0,MA5DT8Q54,10
5280,19843.0,911.0,MA5DT8Q54,10
5281,19843.0,911.0,MA5DT8Q54,10
5290,20840.0,999.0,MA01H3BQ1,10
5291,20840.0,999.0,MA01H3BQ1,10
5301,20840.0,866.0,MA01H3BQ1,10
5303,20840.0,753.0,MA01H3BQ1,10
5308,19843.0,719.0,MA5DT8Q54,10
5309,19843.0,857.0,MA5DT8Q54,10
5310,20840.0,866.0,MA01H3BQ1,10
5316,20840.0,655.0,MA01H3BQ1,10
5317,20840.0,655.0,MA01H3BQ1,10
5318,20840.0,753.0,MA01H3BQ1,10
5324,20840.0,753.0,MA01H3BQ1,10
5337,19856.0,711.0,MA5DT8Q54,10
5349,20840.0,660.0,MA01H3BQ1,10
5350,20840.0,475.0,MA01H3BQ1,10
5355,19856.0,567.0,MA5DT8Q54,10
5365,19856.0,658.0,MA5DT8Q54,10
5367,19856.0,658.0,MA5DT8Q54,10
5368,19856.0,862.0,MA5DT8Q54,10
5369,19856.0,748.0,MA5DT8Q54,10
5375,19856.0,851.0,MA5DT8Q54,10
5376,19606.0,873.0,MA5DT8Q54,10
5382,20825.0,809.0,MA5DT8Q54,10
5385,20825.0,809.0,MA5DT8Q54,10
5386,20840.0,995.0,MA01H3BQ1,10
5389,20825.0,916.0,MA5DT8Q54,10
5395,20990.0,561.0,MA01H3BQ1,10
5401,20825.0,737.0,MA5DT8Q54,10
5402,20825.0,915.0,MA5DT8Q54,10
5408,20990.0,467.0,MA01H3BQ1,10
5409,20990.0,129.0,MA01H3BQ1,10
5410,20990.0,467.0,MA01H3BQ1,10
5415,20990.0,524.0,MA01H3BQ1,10
5430,20990.0,524.0,MA01H3BQ1,10
5448,20990.0,807.0,MA01H3BQ1,10
5465,20990.0,807.0,MA01H3BQ1,10
5487,20835.0,861.0,MA01H3BQ1,10
5501,20835.0,595.0,MA01H3BQ1,10
5512,21148.0,161.0,MA5DT8Q54,10
5513,19665.0,300.0,MA5DT8Q54,10
5514,20835.0,736.0,MA01H3BQ1,10
5515,20835.0,736.0,MA01H3BQ1,10
5516,19665.0,909.0,MA5DT8Q54,10
5517,20835.0,729.0,MA01H3BQ1,10
5518,20835.0,595.0,MA01H3BQ1,10
5519,20835.0,825.0,MA01H3BQ1,10
5520,21148.0,253.0,MA5DT8Q54,10
5523,21148.0,161.0,MA5DT8Q54,10
5524,20835.0,491.0,MA01H3BQ1,10
5526,21148.0,785.0,MA5DT8Q54,10
5529,19270.0,613.0,MA5DT8Q54,10
5531,21148.0,342.0,MA5DT8Q54,10
5532,20835.0,935.0,MA01H3BQ1,10
5534,19665.0,909.0,MA5DT8Q54,10
5535,21148.0,642.0,MA5DT8Q54,10
5536,21002.0,744.0,MA5DT8Q54,10
